2016-11-18 12:32:20.815 [main] INFO  cn.vpclub.DemoApplication - Starting DemoApplication on k8s-minion3 with PID 1482 (/home/vpclub/openshift/fabric/ipservice/target/classes started by vpclub in /home/vpclub/openshift/fabric/ipservice)
2016-11-18 12:32:20.817 [main] INFO  cn.vpclub.DemoApplication - No active profile set, falling back to default profiles: default
2016-11-18 12:32:20.914 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@24105dc5: startup date [Fri Nov 18 12:32:20 CST 2016]; root of context hierarchy
2016-11-18 12:32:21.101 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2016-11-18 12:32:21.214 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'encrypt.CONFIGURATION_PROPERTIES' of type [class org.springframework.cloud.bootstrap.encrypt.KeyProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:21.214 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'encryptionBootstrapConfiguration' of type [class org.springframework.cloud.bootstrap.encrypt.EncryptionBootstrapConfiguration$$EnhancerBySpringCGLIB$$f64421d6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2016-11-18 12:32:21.281 [main] WARN  i.f.s.c.k.KubernetesClientProperties - No namespace has been detected. Please specify KUBERNETES_NAMESPACE env var, or use a later kubernetes version (1.3 or later)
2016-11-18 12:32:21.382 [main] INFO  cn.vpclub.DemoApplication - Started DemoApplication in 1.937 seconds (JVM running for 3.903)
2016-11-18 12:32:31.635 [main] WARN  i.f.s.c.k.c.ConfigMapPropertySource - Can't read configMap with name: [ipservice] in namespace:[null]. Ignoring
2016-11-18 12:32:31.641 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: ConfigMapPropertySource [name='configmap.ipservice.null']
2016-11-18 12:32:31.645 [main] INFO  cn.vpclub.DemoApplication - No active profile set, falling back to default profiles: default
2016-11-18 12:32:31.672 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@681aad3b: startup date [Fri Nov 18 12:32:31 CST 2016]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@24105dc5
2016-11-18 12:32:32.402 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2016-11-18 12:32:32.827 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=c5fd426c-33b3-32a6-909a-e2fac8f83a49
2016-11-18 12:32:32.832 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
